nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_choose_same1,dummy_choose_same2,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol
-8.26886475491e+18,10463843,0,0,1,0,0,0,0,0,0,0,1640,100,33,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,.074736021,0,
-8.26140802688e+18,10462501,0,0,0,0,1,0,0,0,0,0,2500,100,53,1,.14285715,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,.1012808,0,
-8.24291165954e+18,10463579,0,1,0,0,0,0,0,0,0,0,5500,100,53,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,.10085203,0,
-8.23485362889e+18,42126569,0,0,0,0,1,0,0,1,0,0,330,100,55,1,.2857143,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,.063451596,0,
-8.21801480267e+18,78133138,0,0,0,1,0,0,0,0,1,0,1000,100,28,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,-.070384197,0,
-8.21801480267e+18,78133137,0,0,0,1,0,0,0,0,1,0,1060,100,28,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,-.063714996,0,
-8.20813963544e+18,42125109,0,0,1,0,0,0,0,1,0,0,1420,100,45,1,.2857143,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,.14020248,0,
-8.20813963544e+18,42125110,0,0,1,0,0,0,0,1,0,0,2410,100,45,1,.2857143,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,.12801223,0,
-8.20813963544e+18,42125107,0,0,1,0,0,0,0,1,0,0,1720,100,45,1,.2857143,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,.14062734,0,
-8.20813963544e+18,42125108,0,0,1,0,0,0,0,1,0,0,2810,100,45,1,.2857143,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,.12003548,0,
-8.19794473186e+18,42123846,0,0,0,1,0,0,0,1,0,0,1460,100,43,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,.098690636,0,
-8.19794473186e+18,42123847,0,0,0,1,0,0,0,1,0,0,1710,100,43,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,.093827531,0,
