NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-876040368353e7,78134238,323,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0551577,75,30,0.14285715,0.25862351,1,1,0,1,0,1,-1.0489333,0.0012477938606394218,1.1786773172033752e-4,0.26150905675990055
-875507827006e7,80118999,437,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.5496092,100,60,0,-0.26883677,1,1,0,0,0,0,-1.2369421,0.0012477938606394218,1.1786773172033752e-4,0.21198935749851494
-874851245055e7,5524165,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2584124,100,49,0,-0.26883677,1,1,1,1,0,1,-1.9706912,0.0012477938606394218,1.1786773172033752e-4,0.2989413367889115
-874851245055e7,5524167,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2453842,80,49,0.2857143,0.57597232,1,1,1,1,0,1,-1.6990885,0.0012477938606394218,1.1786773172033752e-4,0.30483248553100445
-874851245055e7,5524168,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.673223,80,49,0.2857143,0.00230808,1,1,1,1,0,1,-1.6990924,0.0012477938606394218,1.1786773172033752e-4,0.31069949928308105
-874851245055e7,5524164,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2344108,100,49,0,-0.26883677,1,1,1,1,0,1,-1.6990812,0.0012477938606394218,1.1786773172033752e-4,0.30300988403029094
-874851245055e7,5524169,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5120711,80,49,0.2857143,-0.10827782,1,1,1,1,0,1,-1.9706862,0.0012477938606394218,1.1786773172033752e-4,0.3087419025333887
-874318616926e7,80116965,380,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6.8023949,100,35,0,-0.26883677,1,1,1,1,0,0,-1.1339221,0.0012477938606394218,1.1786773172033752e-4,0.15124578064507607
-874081601183e7,78133298,300,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3132205,100,68,0,-0.31158489,1,1,0,0,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.4081638967085935
-8.7271887025999995e+018,3595416,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3961544,100,37,0.2857143,0.71995533,1,1,1,1,0,0,-1.8998829,0.0012477938606394218,1.1786773172033752e-4,0.3146836438825675
-8.7271887025999995e+018,3595417,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0986433,100,37,0.2857143,0.32599312,1,1,1,1,0,0,-1.8998815,0.0012477938606394218,1.1786773172033752e-4,0.3162243080476136
-87267936117e8,3591889,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3593693,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.29620233158902404
-872253451506e7,78134119,320,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4380794,100,18,0,-0.26883677,1,1,1,1,0,1,-1.0746956,0.0012477938606394218,1.1786773172033752e-4,0.2967271228151638
-870941594941e7,78133140,296,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6698809,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.4257244527881304
-870571627664e7,3594124,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,46,0,-0.74356091,1,0,1,0,0,0,-1.0051599,0.0012477938606394218,1.1786773172033752e-4,0.273860889829691
