NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_4,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1737862,100,45,0.2857143,-0.66407734,1,1,1,1,0,0,622.72992,-14.204397373986565,588.1820946550251,0.5840669438670923
-914972513898e7,10463141,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.7579064,100,43,0,-0.26200578,1,1,1,1,0,1,2781.4934,-45.11266886763705,5023.595381906776,0.4233164236163696
-914972513898e7,10463140,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.9010072,100,43,0,-0.26200578,1,1,1,1,0,1,3209.4155,10.251032267948423,14293.458860327662,0.4161945250600758
-914972513898e7,10463142,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.3132205,100,43,0,-0.26200578,1,1,1,1,0,1,1783.0045,-92.89169939005538,1124.354811810485,0.522914899020027
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.26200578,1,1,1,1,0,0,290.04068,-6.374949647366028,317.4645860061349,0.2751011157480385
-914177455903e7,5522659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.779922,100,43,0,-0.26200578,1,1,1,1,0,1,1563.3911,36.25537892623798,582.753995847592,NA
-913911686849e7,80118687,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.49224,100,43,0,-0.26200578,1,1,1,1,0,1,942.85712,7.068694348305239,838.6558637897447,0.5693587877836407
-913719072709e7,3591005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7037826,100,21,0,-0.6041308,0,1,1,1,0,1,369.5899,-14.964585519944473,331.98810990574145,NA
-9.1369247177200005e+018,78134822,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.1092477,100,35,0.2857143,-0.58517939,1,1,1,1,0,1,642.85712,1.2019202273586391,345.54642835799723,0.6415659595689177
-913320573381e7,3586602,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3198647,100,43,0.14285715,-0.18597798,1,1,1,1,1,1,1764.9235,-91.48329766093075,6046.063181542816,NA
-911886012368e7,5522811,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1228666,100,32,1,-0.20258719,1,1,0,1,0,1,2172.5601,-37.0644663438785,828.178247761665,NA
-910910706359e7,78134713,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.84588,100,43,0,-0.26200578,1,1,1,1,0,1,1525.3992,41.27788166284443,557.2262518428515,0.7402115214075581
-910889120573e7,3595873,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5930448,100,43,0,-0.26200578,1,1,1,1,0,1,1771.7628,47.6922700770401,1376.1586536402929,0.4492337238988038
-910889120573e7,3595874,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36518,100,43,0,-0.26200578,1,1,1,1,0,1,2435.7373,-167.45840272349355,2140.8265718863518,0.5841179785128298
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9401712,100,40,0.14285715,-0.6986354,1,1,0,1,0,0,507.43497,-8.533847995436703,399.9369042404696,NA
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.635304,100,43,0,-0.26200578,1,1,1,1,0,0,3356.6106,-116.28109594186344,10125.286652529445,0.2706042782627814
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.1737862,90,43,0,-0.26200578,1,1,1,1,0,0,685.71429,-36.133894697870176,911.969910302089,0.3323237483537694
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.7334018,100,43,0,-0.26200578,1,1,1,1,0,0,1200,21.052928416134076,1772.8150113417798,0.3699922060391562
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6.4297194,90,43,0,-0.26200578,1,1,1,1,0,0,885.71429,17.425122653648497,1032.8881299165141,0.707543857056125
-9.0883933711600005e+018,42126055,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.6463904,90,43,0,-0.26200578,1,1,1,1,0,1,1100,31.08405566912035,1625.2965472565202,0.6145134559893514
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5496092,100,72,0.14285715,-0.014401549,1,1,0,0,1,0,4640.2993,-63.57722719120216,16151.756807561582,0.4329012004242306
-908383493402e7,42126016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.2370591,100,43,0,-0.26200578,1,1,1,1,0,0,2063.5842,-140.02614447994264,4324.369571252461,0.2268761464459089
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0900769,50,60,0.2857143,-0.36501375,1,1,1,0,0,0,1714.2858,-15.314808172035516,4228.646755225799,0.38335644510558153
-907894248321e7,78132608,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5930448,100,48,0.2857143,-0.48841673,0,1,1,1,0,1,1297.8628,18.207067632320598,1438.2104409645585,0.7139591860880412
-9.0749799942799995e+018,3595850,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6894646,100,43,0,-0.26200578,1,1,1,1,0,1,8485.7139,437.14092657252377,106898.98970452171,0.728992602762657
-9.0749799942799995e+018,3595849,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1047039,100,43,0,-0.26200578,1,1,1,1,0,1,4728.5713,209.4589002765436,33157.40433390578,0.7050376321986089
-9.0749799942799995e+018,3595848,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.947504,100,43,0,-0.26200578,1,1,1,1,0,1,2185.7144,-943.5755718928003,9162408.45292368,0.6873131326318686
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5366917,100,33,0,-0.50223994,1,1,0,1,0,0,985.71429,-12.070725580598008,285.3610251167168,NA
-906700482945e7,80118783,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0167561,100,64,0.14285715,2.157141,1,1,1,1,0,1,10485.383,439.99149421338035,184790.96231499314,0.6596096761267444
-9.0665660440399995e+018,5514273,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9120231,100,47,0,-0.72341174,1,1,1,0,1,0,71.428574,0.5533945243878285,129.53501527166543,NA
-906608816771e7,5524509,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.49224,100,43,0,-0.26200578,1,1,1,1,0,1,842.14392,33.29886234668445,631.7357726363224,NA
-906209189113e7,78133514,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7990928,100,27,0.14285715,-0.71591449,1,0,0,1,0,1,471.42856,-3.4202231636078744,369.27819945721205,0.6791610009263335
-905294117521e7,80116809,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.2344108,100,43,0,-0.26200578,1,1,1,1,0,1,1239.8928,44.526630804059934,636.8181549036248,0.49674833722974293
-905294117521e7,80116808,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.363028,100,43,0,-0.26200578,1,1,1,1,0,1,1410.0721,46.50247392176195,606.4889562752282,0.5047430063997849
-904655897558e7,78133050,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.5857887,100,59,0,-0.14916186,1,1,1,1,0,1,2395.6484,-43.10281450081544,3164.651652342949,0.7115681520613214
