NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-3.8131018894599997e+018,42123511,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3419.8716,-790.3996751190189,247959.86695544413,0.5073460135520638
-3.8131018894599997e+018,42123509,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2595.2241,-809.5651303150804,283858.94271426974,0.5062569975861039
-381247939983e7,5521332,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2742.8572,465.86229731432337,260981.64528261177,0.9969717916910712
-380343739557e7,10463188,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,942.85712,711.041507196134,262693.83853189833,0.45736700421177756
-3.7991566031000003e+018,80119206,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1556.6056,-250.56988313250665,135877.4400356627,0.7641916583564108
-3.7991566031000003e+018,80119418,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,628.57141,-141.52625051995997,142586.05793448322,0.5293866005772186
-379320647587e7,42123560,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1617.4608,-186.18456946647436,118528.01108817372,0.9096274665902964
-379320647587e7,42123561,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,410.66559,-264.23346686338726,246729.86918713895,0.9086804981334603
-379165239543e7,78133092,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2337.5876,-394.114678692439,147070.22056414088,0.45004631560039754
-379165239543e7,78134252,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2677.3982,1321.9895355836395,780902.8839296544,0.64297748719687
-379165239543e7,78134520,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3050.0508,200.8409481629094,133679.77456111446,0.604795806757906
-379165239543e7,78136128,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1497.5028,-630.0865842970788,361502.0389603832,0.7372738213128119
-378400204184e7,78133635,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5757.1431,208.74331215945963,165949.24654512046,0.7398586264362649
-3.7770104668199997e+018,3595426,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577.8979,159.77671141998113,56600.55011266006,0
-377567946077e7,3590975,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12239.321,-226.15913911400796,330831.3913785674,0.9993518094852971
-377567946077e7,3592025,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16611.771,-228.82037286951095,90478.89705162215,0.9995097792769454
-376776829221e7,10462543,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2621.4895,-1714.5839792874513,4490758.034477284,0.5853124413072747
-376776829221e7,10463582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1505.3702,298.5678644551691,266019.9798519182,0.5627185853922095
-376750023464e7,10463176,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1644.6768,716.4505588560723,316391.59526619985,0.4645238215541908
-376232431679e7,78132509,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,884.41193,-17.54000277492228,441470.0296933233,0.47346743496252586
-376232431679e7,78132583,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,916.4881,233.74498420026976,188517.67145398905,0.7564015245139367
-376232431679e7,78136397,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1457.1428,-58.19933237571562,146832.11168443787,0.4619645655835449
-376232431679e7,78136398,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,885.71429,-69.7600348417872,229605.89032732256,0.48143384963184194
-376127637207e7,80117463,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,702.16156,-109.38549894844847,162822.7445225034,0.5531695383017609
-37566711096e8,80117491,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2628.5715,-50.06492898284429,228431.5995973848,0.8197454629150762
-37566711096e8,80117599,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,642.85712,-130.35515506663648,67020.728207207,0.8864005485678713
-37566711096e8,80118310,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1142.8572,-444.36842493137544,262816.4240874307,0.48162674438599945
-375589126935e7,80117399,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2640.991,-1052.4968562468391,418136.8476744351,0.46572529109720456
-375589126935e7,80119220,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,972.56787,-638.2826274790139,49101.68521695444,0.7072270266509192
-375418049188e7,42124703,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985.71429,-334.8683274692686,122016.70647678991,0.23043091862788856
-374461227843e7,80117608,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2657.1428,614.4123711039991,111307.74633106978,0.7830272900326384
-374266602972e7,80117698,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,639.19257,530.4980765400676,261965.0577744795,0.8388711730771041
-373670310915e7,80117534,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3300,-174.9884473971918,153595.94455759547,0.20004910086882458
-37324561458e8,10462033,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1024.7288,-814.7369255302184,137811.25902503895,0.31737388832131663
