nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,oc,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol_fee
-5.46769423033e+18,5520255,0,0,0,1,0,0,1,0,0,0,1530,50,25,1,1,.14285715,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-.15832733,0,
-6.13929838909e+18,80116761,0,0,0,0,0,0,0,0,0,1,700,100,68,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,,1,0
2.24229237633e+18,78134337,0,0,0,1,0,0,0,0,1,0,3360,100,56,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,-.071897171,0,
4.02261634995e+18,5522901,0,0,0,1,0,0,1,0,0,0,4110,90,40,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,-.15826046,0,
-6.50159815741e+18,3595329,1,0,0,0,0,1,0,0,0,0,3090,100,45,2,2,.14285715,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,,1,0
2.31620661443e+18,42125366,1,0,0,0,0,0,0,1,0,0,340,70,65,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,-.1219672,0,
-6.20360857677e+18,3594475,0,0,0,1,0,1,0,0,0,0,1110,100,83,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,,1,0
5.20993846644e+18,80118456,0,0,1,0,0,0,0,0,0,1,3910,100,42,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,,1,0
8.84772845219e+18,3586621,0,0,1,0,0,1,0,0,0,0,1020,100,42,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,-.18211663,0,
2.09140039798e+18,42125852,0,1,0,0,0,0,0,1,0,0,760,100,29,1,1,.14285715,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,-.15696777,0,
-3.44759649151e+18,80118789,0,0,1,0,0,0,0,0,0,1,1750,100,48,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,,1,0
9.00822185214e+18,42123632,0,0,1,0,0,0,0,1,0,0,1410,80,50,1,3,.2857143,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,,1,1
-2.38290069791e+18,78134210,0,0,0,0,0,0,0,0,1,0,910,50,36,1,2,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,-.10095239,0,
-1.38926783911e+18,5521172,0,0,0,0,0,0,1,0,0,0,2150,100,43,1,1,.2857143,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,-.18701954,0,
3.86319132209e+18,10462908,0,1,0,0,0,0,0,0,0,0,400,100,26,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,1,1
1.21525657072e+18,3591027,0,0,0,0,0,1,0,0,0,0,550,100,38,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,-.10705476,0,
1.52526580040e+18,80116006,0,1,0,0,0,0,0,0,0,1,1160,100,33,1,1,.14285715,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,-.094813868,0,
-6.39585421691e+18,10462694,1,0,0,0,0,0,0,0,0,0,1270,100,38,1,1,.5714286,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,,1,1
-1.14888324133e+18,80119010,0,0,0,0,1,0,0,0,0,1,1830,90,51,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-.18915915,0,
6.44479731687e+18,5514396,0,0,0,1,0,0,1,0,0,0,400,90,24,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,-.15427887,0,
