sum_porcp_c,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
0,1,39,0,6277.3184,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78132482,1,0.7572258973667995,0.7725864130601745,0.04736279673280691,0.0021092680092273924,-0.061422031954893444,0.004058582371331634
0.48763284,1,40,1,2021.9264,0,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522954,0,0.6785765666384499,0.5762644239007323,0.016643369475720468,0.0013749181601592666,0.027250189236044595,0.0021640827172880175
1.1802843,1,59,1,3125.5518,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78133050,0,0.7395106240459174,0.6557561700509721,0.11118718895328936,0.005645206122408929,0.09255924219788142,0.0015389739631076547
1.2369416,1,56,1,2857.0974,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133911,0,0.7370684200452163,0.700678197841171,0.08984059931034996,0.009683518875155608,0.037773428837558916,0.006174477707332146
0,1,45,0,1977.3961,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591866,1,0.5833667600402503,0.6743557493689634,-0.0066619560580293835,0.004111702324648021,-0.02466307672305964,0.003925884206778924
0,1,45,0,1529.5482,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591868,1,0.5642162829200547,0.6129774505610869,0.020718405298097757,0.0011577023882778682,0.020435210961723217,0.006086527428463937
0,1,45,0,2841.1028,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591867,1,0.5880813912786604,0.6547840165231807,0.049061388190094306,0.007274546090757408,0.027814782592172946,0.0036602915216187703
1.2343607,1,42,1,1369.6024,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117884,1,0.708546964242907,0.5695082736019171,0.09016561067623532,8.76809071935828e-4,0.11385778498095067,0.0013929173958132472
0,1,36,1,809.79254,1,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514183,0,0.5184084441766884,0.4746102459325506,0.07016490102731258,0.0019623050949999317,0.10363202787064789,0.005038860366172718
1.2593275,1,36,1,1321.6188,1,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514184,0,0.5021772797046935,0.5228795190033283,-0.0035860513351901515,0.004921247135933927,0.0708316581580977,0.0032130720133100275
1.06696,1,24,0,2690.2385,1,0.14285715,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10462474,0,0.5520956013348025,0.6002098432587234,-0.10373838488982039,0.017679725470267478,0.0087709062582521,0.0030496641823405694
0,1,37,0,2969.0593,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78136290,0,0.6799736241697102,0.6216259698827937,0.08514834580776692,0.004656299505009903,0.00804866841921732,0.0070331153505634215
1.2395183,1,45,1,3925.2803,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118770,0,0.6843824093622074,0.6030298874074592,0.07555703254484096,0.004183260791710903,0.048409783286275196,0.0017509527366151119
0.24209434,1,23,1,337.66562,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3591006,0,0.5832761062675499,0.6014688554361761,0.08207782785166187,0.003389968720230573,0.01974751061478947,0.004668346812351049
0,1,37,1,1041.4266,1,0.33333334,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42125660,0,0.5812445782236563,0.5095844915998051,0.14785631534396848,0.005083903078705835,0.061162989939860836,0.00756555620086636
0,1,20,1,214.54008,1,0.14285715,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133652,0,0.5558561682432063,0.459015436710996,0.08588814561041896,0.01002649322675139,0.046953169915820825,0.010280187790578975
1.2240642,1,66,1,4265.4609,0,0.14285715,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3592101,0,0.9204001634876315,0.8039261207422043,0.13543463128487196,0.006816967995935649,0.034584191881830775,0.007871128319773824
0,1,46,1,1830.2595,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118618,1,0.593118800209321,0.5802010033249404,0.040146625720519295,0.011301890850001854,0.06334141544583656,0.005445779924420335
1.1107441,1,25,1,1350.1545,0,0.14285715,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133294,0,0.5809821682443413,0.5339556979751294,0.03921082934548277,0.01067127660750172,0.0033743330437928597,0.00366308030964301
0,1,38,1,1382.1437,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78136109,0,0.5642025542115646,0.7201792760349593,-0.00634014821794109,0.005128640016763931,-0.12086554876214026,0.007195802660748049
1.1802807,1,60,1,3528.8694,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,42124383,0,0.7828968590422188,0.6916839805354494,0.13951951001349597,0.010330647147329463,0.028058914757297763,0.012560267703210308
1.154529,1,48,1,4852.959,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117915,0,0.7756781077723912,0.60283431964988,0.16291310555283772,0.00825866308019993,0.10407531576721979,0.010585464969943548
1.2369421,0,35,1,5640.1523,1,0.2857143,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594093,1,0.6324358893574459,0.7436879292798002,0.09319321547790689,0.007771083306420809,0.013445102848194676,0.00439064008061191
1.2369429,0,35,1,4872.4131,1,0.2857143,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594094,1,0.6267273808560074,0.7373432598676546,0.07884588221648614,0.005938293423542845,0.02056620334586793,0.005737306207837778
0.51237214,1,37,1,662.388,1,0.66666669,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124022,0,0.5733064803268629,0.46088458682217787,0.12598903424957553,0.00512477028876794,0.09182224850699222,0.008092592483568719
0,1,45,1,1209.6567,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134579,0,0.7144531204442967,0.5973445159604535,0.10305833761354237,0.0033759112769210452,0.0634292700110452,0.006251813774887097
1.2369438,1,52,0,11206.263,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595323,0,0.9372527391086621,0.7221936493050923,0.21683843441773476,0.001666617475972477,0.08428493437711508,0.0019699011188360305
1.1073914,1,38,1,1497.5591,1,0.14285715,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124589,0,0.5593280637178096,0.5229150724701618,0.06146743778926914,0.0015964404112142287,0.07673607362137438,0.0019187994748761632
0.23694317,1,37,1,1801.4558,0,0.14285715,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514473,0,0.5888100821720413,0.5861105248504634,0.028949650900114723,0.007486020397101819,-0.012673063098731533,0.009437116650674083
0.23694307,1,37,1,4888.4077,0,0.14285715,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514472,0,0.7180939457370148,0.5795547566025008,0.13435927785841992,0.004072701626043128,0.07016726046317356,0.004010628245585596
1.2343637,1,37,1,854.32288,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595237,1,0.7000752450571412,0.6464451631709663,0.15802807415652068,0.004848151290899659,0.012347983933657658,0.003977735672260587
1.2716013,1,30,0,2421.7908,1,0.14285715,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42125786,1,0.6388188503707711,0.5725509524634387,0.0721779553353434,0.013274273952672846,0.013847394419507619,0.007886839697773278
1.473911,0,60,0,1113.6893,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133246,1,0.7028476235206955,0.6881255265250467,0.09081106973929948,0.017099601397706596,0.10431687662853087,0.0016875643136996321
0,1,39,1,5256.2827,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133302,0,0.743478288464689,0.7120192380080633,0.06254602112565139,0.006449560191386694,-0.05590246062291394,0.0038058518365959907
0.53089619,1,39,1,3320.9399,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,42124998,1,0.6789600725236228,0.7178770664039772,0.0726175089178599,0.009763203803015397,-0.06734002055473028,0.006332070786257735
0,1,29,1,1782.8446,0,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594345,1,0.48627693235469416,0.577452942350809,-5.529785358245387e-4,0.009968771155539407,-0.030825037020321036,0.003403109106593809
0,1,48,0,857.77625,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586696,0,0.6977854495502068,0.6207853029697495,0.10623704000060993,0.003204358151577568,0.07421208609818739,0.0017453477848508457
1.150149,1,31,1,1145.6785,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124869,0,0.6005387890806047,0.4794247229609936,0.14202896545572435,0.0072769326863863166,0.04833522749436103,0.0037478785224543372
1.0592375,1,73,1,769.51898,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42123588,0,0.8619212193184461,0.5615041569308313,0.1208455216461158,0.0049164302029375715,0.10980369531849672,0.009427483916875659
1.1777084,1,61,1,5025.1431,0,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3594348,1,0.8858676034545485,0.7366193820188711,0.17272451640252928,0.0026221610562392273,0.0809585477527405,0.007646419365932295
1.2369419,1,44,1,2953.6384,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134958,0,0.7278292736643173,0.6165082109549318,0.1224905689878164,0.008308217037372377,0.07259255950431787,0.0020403806699929375
1.1004457,1,81,1,1302.1708,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134815,0,0.8716658846709179,0.6304625327936821,0.039383995355389674,0.004561239173092918,0.08440220171813108,0.0032181197352630624
0.50894547,1,40,0,5540.9995,0,0.14285715,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10462099,0,0.806368043706287,0.6260218774829587,0.13486781606033882,0.004235161537992112,0.059902561306491076,0.0030355892600183506
1.0154524,1,51,1,15340.804,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78134951,0,0.9314486486265072,0.7835374023890689,0.1745822185638835,0.00977849636142817,-0.03911608641743056,0.007428069576304878
1.4713125,1,50,1,2441.2385,1,0.14285715,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,80117111,0,0.7405867960834348,0.6383733123212003,0.08784881582662696,0.004524491055492593,0.051366693490222236,0.0024432864460577682
0,1,37,0,2793.9558,1,0.2857143,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134335,1,0.5943202649711359,0.5663594697464073,0.09235658291957116,0.008796136464311701,0.02997614247557552,0.013397377527872527
1.3510649,1,39,1,3173.5354,0,0.14285715,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10462438,0,0.7031218278458895,0.5629746383015055,0.12509909749482867,0.008340007212988368,0.059179547893966594,0.004979115914523097
0,1,29,0,2121.9207,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117948,0,0.6489648581186251,0.5741894859579492,0.05141111738260573,0.008672428480283186,0.01858386316330772,0.00823953803599561
1.2116591,0,39,0,1382.1437,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123800,1,0.6257388153206977,0.6494936617786295,0.08144356424717784,0.007505796907980965,0.06539080260686107,0.013507013364360068
1.2152203,0,39,0,2805.6604,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123799,1,0.6416411996377285,0.6527730376439619,0.07823014043529948,0.0077620891029300115,0.05141698023676018,0.0035882226850774152
1.0997647,1,63,1,21923.465,1,0.14285715,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42124609,0,0.9342962352293865,0.6868510428128627,0.2879099761201095,0.007861392908828103,0.13133350265772178,0.007553359892706661
1.2369574,1,50,0,726.36627,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118817,0,0.5604708182617192,0.47452014105200224,0.05395502899921478,0.008249351342074511,0.11048256787276625,0.0029357885033903
1.0489333,1,30,1,5012.9111,1,0.14285715,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134238,0,0.7658564331821156,0.7034613925099686,0.07334217752142339,0.005816049459466351,-0.05948612276423311,0.01092610557932804
1.018029,1,27,0,12322.423,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10463612,0,0.5652324009746296,0.5939155392499902,0.05495911794944142,0.008232661208898515,0.025616812810636255,0.0027659803902760805
1.0875655,1,27,0,16688.939,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10463611,0,0.5776599340317528,0.5952258439276645,0.056889913741778514,0.011473375355046228,0.039406943551907436,0.005184779622144194
0.64274997,1,60,1,1097.6948,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,80117050,0,0.650333753798062,0.5990118424558493,0.1183885157822991,0.005586559665873385,0.08415859983018224,0.003798848646559866
