fc_admin_disc,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
698.52197,1,37,1,855.12604,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595237,1,587.6775730196241,642.0176664134817,-77.07599099124302,9899.538220640727,-93.21994511678933,819.130790942198
1996.1899,1,30,0,2421.4404,1,0.14285715,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42125786,1,1880.482461960501,1922.9366136912442,-60.629097961097244,2941.8199135909867,-140.47743022008223,1178.67492144936
672.34564,0,60,0,1110.839,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133246,1,678.2931430885124,806.985555934841,-85.71964397403413,4159.948694726358,-82.67908528199008,1533.4720074894863
7389.917,0,39,1,5250.3843,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133302,0,4756.05624455224,4522.315570464858,-7.332908298738047,47181.29654639031,37.06554844379992,26758.345424669937
3302.8682,1,39,1,3316.4653,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,42124998,1,2684.217219902455,2961.3248236794816,-128.0114442201086,9271.441676837225,-137.61743396008336,5738.849989603334
1300,1,29,1,1785.5421,0,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594345,1,1306.6746784417544,1363.928191236982,-63.75734811089354,2572.8419047450634,-38.312409923029506,1963.9233029036282
414.28571,0,48,0,855.1142,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586696,0,573.2944104422226,682.7974974531709,-86.38836843655635,932.6029214121106,-94.50418931047831,608.4767804805475
601.30328,0,31,1,1142.8046,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124869,0,766.1460023122894,786.0214310141372,-1.1953928433550076,1108.2243403308262,-34.993600422452104,1092.839464695795
861.6922,0,73,1,771.3092,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42123588,0,519.8544341672739,597.5793451165482,17.504341902206278,9038.47691694408,-23.82271910372465,4458.336471700886
3494.522,1,61,1,5026.3408,0,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3594348,1,3962.7311884803366,4571.635987447345,-519.6824858893578,37092.13321961074,-411.44657013994663,7061.629816443258
2188.6948,0,44,1,2955.9226,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134958,0,2219.176277234738,2524.8741905654347,-182.04692970547427,9075.33184345256,-155.6220865507857,1613.6420184578792
935.73798,0,81,1,1302.6444,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134815,0,979.8275598308685,918.2235010223745,20.682680892422795,7935.611081538641,-45.50909520765526,4364.996823158456
5594.3604,0,40,0,5539.9033,0,0.14285715,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10462099,0,4767.5572601190015,4580.001723816291,-178.34139809194428,24957.98624696333,57.51554275677107,31429.43346601885
9741.8086,0,51,1,15331.833,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78134951,0,12860.148660188112,13524.564494630673,-1454.9047415483092,477811.45472379774,-1849.5305043817561,707915.7558229689
1910.6937,0,50,1,2437.4114,1,0.14285715,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,80117111,0,1926.4696066587721,1888.5711051996593,-57.45758044138867,4116.757228727465,-88.02775132404958,1885.321057536858
1828.5714,1,37,0,2792.4465,1,0.2857143,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78134335,1,2154.116190052357,2422.466098201556,-170.4252543889342,7781.669079881849,-140.61366289610288,1190.1161459146451
2978.5105,0,39,1,3172.6321,0,0.14285715,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10462438,0,2541.4314151463336,2703.349022267615,-149.7866396810059,8740.091086832132,-25.531039771732537,6466.156080632853
1714.2858,0,29,0,2124.8171,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117948,0,1664.5633736473412,1623.6063442284842,-41.88612601772162,3818.87585502852,-48.58650114996181,3456.232431240905
1124.5331,0,39,0,1382.5585,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123800,1,947.5005582987899,1082.0006054253126,-186.13211794445658,3674.8022982637513,-112.53522076864942,3123.0460966681267
2262.4751,0,39,0,2805.0276,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123799,1,2225.213982655481,2467.234395399575,-239.13858905662244,3145.2888324160826,-127.32006578032374,5809.7001455316495
