NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_6,fc_admin,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-914972513898e7,10463141,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2701.5999,-811.8432591552605,341710.4487576752,0.3793428873035723
-914972513898e7,10463142,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1731.79,-854.8495463258856,561941.9162106048,0.38319750501545563
-914972513898e7,10463140,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3117.2302,-757.8761959339223,613655.07459967,0.38544929812961776
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.20004,664.8176583941918,146378.8875470216,0.2175725924650456
-914177455903e7,5522659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1671.8928,-107.01149076892959,46671.69424758213,0.9925609884607329
-913911686849e7,80118687,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,942.85712,93.25245930186354,170521.88433715983,0.5660476005815896
-913719072709e7,3591005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,358.72,154.34244262240983,308434.14082097803,0.9999738165060745
-9.1369247177200005e+018,78134822,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,642.85712,-33.11679116374223,72082.60323165594,0.7071432201850644
-913320573381e7,3586602,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1716.1201,4.909448862850026,86090.01199876322,1
-911886012368e7,5522811,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1771.4286,-108.50444457338821,163906.2823226854,0.9927692644740668
-910910706359e7,78134713,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1567.9972,-197.25088690386076,188812.45827759034,0.7525233904136895
-910889120573e7,3595874,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2430.6501,1361.379359844364,188005.3599664958,0.5072356848234196
-910889120573e7,3595873,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1042.8572,1341.8516384612715,270651.3187426963,0.5100835024576855
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.56998,261.5530618102899,57028.150686175715,0
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3447.6128,56.41779719576408,270360.1036502098,0.2828366074374837
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,685.71429,-371.62988615646657,191408.5854651769,0.18393458671428342
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1200,1.6875980065319347,518076.02884921123,0.2548293395182267
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,885.71429,-196.4843458000102,220186.72930504402,0.6825881488248408
-9.0883933711600005e+018,42126055,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1100,-55.64800154814783,235389.17076366636,0.6033493007766918
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4207.0059,242.95480552682648,269685.3926610016,0.37169447880892514
-908383493402e7,42126016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1877.2701,106.29911653742549,274161.61873984546,0.14836718362863613
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1714.2858,-1025.2474667334598,159448.88333700734,0.32785091255602306
-907894248321e7,78132608,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1392.3672,-201.18909300481087,197016.0858417404,0.7517131543287544
-9.0749799942799995e+018,3595850,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8485.7139,1200.741263870465,226028.24756850602,0.5075542380815885
-9.0749799942799995e+018,3595849,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4728.5713,1262.6483604178568,280525.73342931207,0.509416215606468
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.71429,519.9486679566585,51669.59802457348,2.2911051212938006e-4
-906700482945e7,80118783,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10192.409,420.10577695472756,352296.9800366604,0.5546120897205591
-9.0665660440399995e+018,5514273,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.428574,256.959910499508,23541.78552501872,4.49842555105713e-4
-906608816771e7,5524509,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,818.08002,-452.0222488391177,190290.78639372694,0.9984998346054124
-906209189113e7,78133514,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,471.42856,114.12688556841813,113788.25432122964,0.7936457197068985
-905294117521e7,80116809,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,728.57141,-973.826097183695,311059.1420209965,0.319632181545439
