NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
36901535802e8,78134652,336,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1.1519535,0.008548164258453107,3.2451007606562257e-4,0.629413649372173
369879038247e7,78132487,281,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2240686,0.008462038660930187,2.411519635378065e-4,0.4944090901445794
370445115349e7,78135043,347,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0540907,0.008429169017560622,2.6913688951950553e-4,0.7661828227668517
370930247245e7,80117708,403,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.009129063964008708,2.114140803484924e-4,0.5847109094571609
371399075179e7,10463175,504,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.8741159,0.009016998128157191,2.1766151698828564e-4,0.39697628424967557
3.7165504820199997e+018,78136278,363,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.1004322,0.00889155007505674,2.443368548971325e-4,0.4309807625659217
3.7190607910599997e+018,3594391,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.7065558,0.008939473778075756,2.1268441833653093e-4,0.4135669412174961
372141072093e7,42125048,243,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1.4285715,0.00897915112039752,2.028195708943593e-4,0.38395531312578274
372767643603e7,3590970,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.2406723,0.01043321801678911,2.0202658677158006e-4,0.4968373146644919
372817044569e7,78133719,309,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.1596732,0.009504906344032988,0.00012424481158423281,0.4252991464712017
373818234833e7,5522942,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.8973006,0.009276087842837188,2.089422541464115e-4,0.45698315605342194
373818234833e7,5522941,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.1622539,0.009276087842837188,2.089422541464115e-4,0.45698315605342194
374052038085e7,5520261,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9184959,0.009276087842837188,2.089422541464115e-4,0.4304655503018609
374170215284e7,42125175,237,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2495875,0.00897915112039752,2.028195708943593e-4,0.5052803859229992
374170215284e7,42125173,237,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2495854,0.00897915112039752,2.028195708943593e-4,0.5052803859229992
375462591781e7,80116013,399,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2395182,0.00909612563344059,2.353729891998425e-4,0.6322477679625305
375462591781e7,80116012,399,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2395198,0.00909612563344059,2.353729891998425e-4,0.6322477679625305
375862681991e7,80118871,433,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.1880133,0.009129063964008708,2.114140803484924e-4,0.6020534620465704
3.7613616598599997e+018,80117568,399,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.1519556,0.00909612563344059,2.353729891998425e-4,0.599750228821853
3.7613616598599997e+018,80117848,407,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-1.128773,0.009313603558873083,2.683943417249084e-4,0.6015545735867582
376791308995e7,80118933,435,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.010462458178814157,2.0331252418440284e-4,0.6840163336511358
377060103416e7,80117412,394,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.2395263,0.009222357548042206,2.091700944624453e-4,0.6518575825198968
377157963921e7,10463943,540,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2492619,0.009376051158699364,1.89989118633997e-4,0.45981157158529273
377272856055e7,3594076,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.2343667,0.010286660126281589,1.6579913263601285e-4,0.5042384762974981
