NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
536853648981e7,80117537,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.0643835,0.0071496462879130935,0.003485413326182419,0.0121728841314639
536853648981e7,80118397,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0102999,0.020080308180487127,0.0014369273066576697,0.01189467354740605
536853648981e7,80118897,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0283332,-0.012268985086241493,9.271843205660567e-4,0.018750747438556134
537187850003e7,42123542,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4285715,0.08888460349406496,0.0016791063133255203,0.6630668391307344
5.3882193356400005e+018,3591959,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5159905,-0.08459251319522679,0.0013709956667646323,0.0038613604644712808
5.3882193356400005e+018,3591961,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5159934,-0.09136292554892408,0.0013804205992803888,0.004646431526085195
5.3882193356400005e+018,3591960,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5159941,-0.09641129543231884,0.0017657446750630017,0.004345842324664969
539361276643e7,3592243,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.4713123,-0.05699205403999285,0.002277272250043174,0.4888784178972464
539361276643e7,3592244,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1655402,-0.037431708550097594,0.0028530394400467364,0.4816561791808094
540631422363e7,10462044,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.06888481180624076,0.0022134558612140164,0.1871761118882428
542185217805e7,78134308,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9446321,0.010097791234144766,0.0029315497104453847,0.27944046038614767
5.4241560684400005e+018,78133427,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.2068033,-0.0031551674599748464,0.002663741993219916,0.2182088001488688
5.4241560684400005e+018,78135044,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1.1880074,-0.04579749721802584,0.004977880845290073,0.2602826259238357
543480585014e7,10463222,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.7017955,-0.04952013814213068,0.0015178164934033466,0.10889405222092631
543480585014e7,10463220,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.4285715,-0.05387815487657669,0.001629940881932083,0.1080371975955089
5.4434479361200005e+018,78132551,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.4285715,0.011807415873429985,0.0025200696313182297,0.38651557843466866
545241404034e7,78133263,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.018580664509908806,0.0027097689468976297,0.14640621391718164
545681983289e7,80118662,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2395244,-0.016533947236040243,5.593091071383258e-4,0.05137307490774701
545681983289e7,80118664,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2060351,-0.016791776615095205,0.001467674830463174,0.04817212126132216
545681983289e7,80118663,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2060378,-0.01902871166313911,0.0019262709955245934,0.05115898377538213
