sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
1.236943,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0.14285715,2.157141,1,1,80118783,0,0.25442411782521435,0.006337607322754901
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.72341174,1,0,5514273,1,0.05607031651508235,0.0099761504419508
1.0847554,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.2857143,-0.104822,1,1,42124954,1,0.13134543182790276,0.005286767515001782
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0.14285715,-0.71591449,1,1,78133514,0,0.08743922806647447,0.011983564396169153
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.53230226,0,1,78132482,1,0.06002041272843985,0.006172016837500023
0.48763284,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285715,-0.38761264,1,0,5522954,0,0.006785950997509987,0.0017875380841023867
1.1802843,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,-0.14916186,1,1,78133050,0,0.13632259655466783,0.011638309129871205
1.2369416,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-0.20849626,1,1,78133911,0,0.11355700591680855,0.003961553147762076
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.21195203,0,1,3591867,1,0.06150225612849554,0.008216032725536756
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.39856571,0,1,3591866,1,-0.03192068013939073,0.006801876802997406
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.49532834,0,1,3591868,1,0.01566727609987737,0.0023118132251760703
1.2343607,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,-0.52988642,1,1,80117884,1,0.06853679398365298,0.005318542931454551
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.14285715,-0.65083975,1,1,5514183,0,0.07121114041212218,0.006855314129221208
1.2593275,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.14285715,-0.54025388,1,1,5514184,0,-8.021856941785907e-4,0.002916496489379207
1.06696,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24,0.14285715,-0.24189927,0,1,10462474,0,-0.08729881963097164,0.0041018869909121985
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,-0.18430561,0,1,78136290,0,0.09235039638047948,0.011515904516247151
1.2395183,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0.023628585,1,0,80118770,0,0.08485049922390055,0.0033576083742751415
0.24209434,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,-0.7521683,1,1,3591006,0,0.08331688766693916,0.012122463370301073
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.33333334,-0.60011268,1,1,42125660,0,0.14737196996694252,0.00730258678413275
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0.14285715,-0.77811903,1,1,78133652,0,0.08694720344995348,0.013576828896594458
