NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,OC,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,pago_frec_vol_fee,pago_frec_vol_promise,pago_frec_vol
-8.89707774821e+18,5521188,103,1,0,0,0,0,0,0,1,0,0,0,0,660,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.88833366808e+18,78131756,288,0,1,0,0,0,0,0,0,0,1,0,0,1580,40,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.88833366808e+18,78131784,297,0,0,0,0,1,0,0,0,0,1,0,0,580,40,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-8.88833366808e+18,78134239,323,1,0,0,0,0,0,0,0,0,1,0,0,150,40,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-8.88833366808e+18,78134929,343,0,0,0,1,0,0,0,0,0,1,0,0,1700,80,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.88352644956e+18,3586687,14,0,0,0,0,1,0,1,0,0,0,0,0,80,90,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.87980610533e+18,78133302,300,0,1,0,0,0,0,0,0,0,1,0,0,3040,100,39,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,,0,0
-8.87874720489e+18,42125288,241,0,0,0,1,0,0,0,0,1,0,0,0,1310,50,39,1,2,,1,1,1,,,,,,,,,,,1,0,,,,0,1,1,1,,,0,0
-8.86676045667e+18,3586696,15,0,0,0,0,0,1,1,0,0,0,0,0,290,100,48,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,,0,0
-8.86566873849e+18,10462436,470,0,0,0,1,0,0,0,0,0,0,0,1,2800,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
