nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_choose_same1,dummy_choose_same2,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol
2.43284464399e+18,10463896,0,1,0,0,0,0,0,0,0,0,530,90,45,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,.065018438,0,
2.45758153739e+18,10463983,0,0,1,0,0,0,0,0,0,0,1040,80,27,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,.18416132,0,
2.46543069010e+18,80119001,0,0,0,0,1,0,0,0,0,1,600,100,52,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,.093505166,0,
2.48177045580e+18,42125489,0,1,0,0,0,0,0,1,0,0,7580,100,38,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,.097243994,0,
2.48650650580e+18,78134371,0,0,0,0,1,0,0,0,1,0,6100,100,35,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,.042907733,0,
2.49677893933e+18,5520272,0,0,0,0,1,0,1,0,0,0,4560,100,72,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,.22334813,0,
2.55418320407e+18,3594332,0,0,1,0,0,1,0,0,0,0,180,100,31,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,.12370802,0,
2.56399737161e+18,42124270,0,0,0,0,1,0,0,1,0,0,3250,100,76,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,.15899967,0,
2.56399737161e+18,42124269,0,0,0,0,1,0,0,1,0,0,3520,100,76,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,.15466215,0,
2.58604417457e+18,42125784,0,0,0,0,1,0,0,1,0,0,1540,100,30,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,.082668141,0,
2.70588563310e+18,42123840,0,0,0,1,0,0,0,1,0,0,1060,80,26,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,.12609759,0,
2.70836469213e+18,5522609,0,0,0,0,1,0,1,0,0,0,2290,100,27,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,.12847379,0,
2.73057763251e+18,78134304,0,0,1,0,0,0,0,0,1,0,2900,100,61,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.12614441,0,
2.76933949942e+18,80117566,0,1,0,0,0,0,0,0,0,1,630,100,20,1,.5714286,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,.13260114,0,
2.80796760152e+18,80115965,0,1,0,0,0,0,0,0,0,1,1940,50,35,1,.2857143,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,.15059121,0,
2.82274699517e+18,5521170,0,0,0,0,0,0,1,0,0,0,2000,100,27,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,.1276647,0,
2.87531792585e+18,78135162,1,0,0,0,0,0,0,0,1,0,790,95,42,1,.14285715,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.067231506,0,
2.87808233086e+18,42124877,0,0,0,0,1,0,0,1,0,0,510,100,44,1,.14285715,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,.13392332,0,
2.89080692913e+18,5522763,0,0,0,0,0,0,1,0,0,0,480,100,51,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,.14176191,0,
2.90263579740e+18,80118880,0,1,0,0,0,0,0,0,0,1,1070,50,41,2,.42857143,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,.14977354,0,
2.92585229402e+18,10464026,0,0,1,0,0,0,0,0,0,0,1000,100,67,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.17264561,0,
2.93282275703e+18,10462061,1,0,0,0,0,0,0,0,0,0,2450,80,45,2,.2857143,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,.16240983,0,
2.94267967583e+18,3590998,0,0,1,0,0,1,0,0,0,0,2740,100,50,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,.11591538,0,
2.95546984562e+18,5520129,0,0,0,0,1,0,1,0,0,0,1750,100,35,1,.2857143,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,.17967221,0,
2.95612442730e+18,78134324,0,0,1,0,0,0,0,0,1,0,600,50,46,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.098451443,0,
2.97188152436e+18,42124260,0,0,0,0,1,0,0,1,0,0,830,90,53,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,.094214141,0,
3.01587238125e+18,3595223,1,0,0,0,0,1,0,0,0,0,470,100,39,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,.07493984,0,
3.03814791308e+18,78133926,0,0,0,0,1,0,0,0,1,0,1800,100,46,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,.10881406,0,
3.03814791308e+18,78133925,0,0,0,0,1,0,0,0,1,0,2300,100,46,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,.13139217,0,
3.04680752219e+18,78134346,0,0,0,1,0,0,0,0,1,0,230,100,31,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,.045364857,0,
3.06245242715e+18,10463214,0,0,0,1,0,0,0,0,0,0,1420,100,45,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,.10503962,0,
3.06732616361e+18,78133700,0,0,0,1,0,0,0,0,1,0,370,100,30,2,.14285715,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,.058358002,0,
