des_c,dias_al_desempenyo,num_p,sum_porcp_c,ref_c,reincidence,t_producto,NombrePignorante,fecha_inicial,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_choose_same1,dummy_choose_same2,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,dummy_choose_same3,dummy_trabajo9,pro_2,pro_3,pro_4,pro_5
0,,3,.54212326,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,730,100,43,2,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,175,21,1.3880941,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,850,90,43,2,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,175,28,1.2905674,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,2450,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,85,1,1.2215,0,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,400,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,175,28,1.3049045,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,1570,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
0,,3,.54210907,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,1100,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,91,15,1.1655529,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,850,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
1,175,28,1.2939411,1,1,3,-9.17722071823e+18,9/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,1700,,43,2,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,1,,
0,,3,.53784376,1,1,,-9.17722071823e+18,12/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,960,,43,3,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,,,
0,,3,.53412998,1,1,,-9.17722071823e+18,12/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,1000,,43,3,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0,,,0,1,0,0,1,0,,,,
