
="",="(1)",="(2)",="(3)"
="_cons",="0.30",="1.27",="1.07"
="",="(0.036)",="(0.15)",="(0.15)"

="N",="23740",="22873",="22460"
="R-sq",="0.246",="0.283",="0.274"
="adj_r2",="0.24",="0.28",="0.27"
="p_suc",="0",="0",="0"
="p_week",="8.2e-09",="0.000063",="0.00000033"
="p_obs",="",="8.2e-248",="3.0e-172"
="DepVarMean",="0.49",="0.48",="0.48"

="Standard errors in parentheses"
